,Date,Adj Close,Volume
0,2019-03-01,2.556,0.0
2,2019-03-04,2.531,0.0
3,2019-03-05,2.533,0.0
4,2019-03-06,2.497,0.0
5,2019-03-07,2.435,0.0
6,2019-03-08,2.425,0.0
8,2019-03-11,2.44,0.0
9,2019-03-12,2.414,0.0
10,2019-03-13,2.414,0.0
11,2019-03-14,2.43,0.0
12,2019-03-15,2.4,0.0
14,2019-03-18,2.414,0.0
15,2019-03-19,2.425,0.0
16,2019-03-20,2.335,0.0
17,2019-03-21,2.341,0.0
18,2019-03-22,2.255,0.0
20,2019-03-25,2.202,0.0
21,2019-03-26,2.193,0.0
22,2019-03-27,2.165,0.0
23,2019-03-28,2.203,0.0
24,2019-03-29,2.243,0.0
26,2019-04-01,2.312,0.0
27,2019-04-02,2.292,0.0
28,2019-04-03,2.32,0.0
29,2019-04-04,2.317,0.0
30,2019-04-05,2.312,0.0
32,2019-04-08,2.326,0.0
33,2019-04-09,2.304,0.0
34,2019-04-10,2.279,0.0
35,2019-04-11,2.316,0.0
36,2019-04-12,2.375,0.0
38,2019-04-15,2.37,0.0
39,2019-04-16,2.408,0.0
40,2019-04-17,2.401,0.0
41,2019-04-18,2.369,0.0
43,2019-04-22,2.388,0.0
44,2019-04-23,2.361,0.0
45,2019-04-24,2.315,0.0
46,2019-04-25,2.33,0.0
47,2019-04-26,2.295,0.0
49,2019-04-29,2.318,0.0
50,2019-04-30,2.282,0.0
51,2019-05-01,2.298,0.0
52,2019-05-02,2.352,0.0
53,2019-05-03,2.33,0.0
55,2019-05-06,2.293,0.0
56,2019-05-07,2.252,0.0
57,2019-05-08,2.285,0.0
58,2019-05-09,2.253,0.0
59,2019-05-10,2.25,0.0
61,2019-05-13,2.186,0.0
62,2019-05-14,2.198,0.0
63,2019-05-15,2.153,0.0
64,2019-05-16,2.186,0.0
65,2019-05-17,2.178,0.0
67,2019-05-20,2.205,0.0
68,2019-05-21,2.228,0.0
69,2019-05-22,2.189,0.0
70,2019-05-23,2.088,0.0
71,2019-05-24,2.122,0.0
73,2019-05-28,2.074,0.0
74,2019-05-29,2.036,0.0
75,2019-05-30,2.031,0.0
76,2019-05-31,1.927,0.0
78,2019-06-03,1.847,0.0
79,2019-06-04,1.881,0.0
80,2019-06-05,1.863,0.0
81,2019-06-06,1.884,0.0
82,2019-06-07,1.851,0.0
84,2019-06-10,1.912,0.0
85,2019-06-11,1.909,0.0
86,2019-06-12,1.881,0.0
87,2019-06-13,1.83,0.0
88,2019-06-14,1.846,0.0
90,2019-06-17,1.847,0.0
91,2019-06-18,1.832,0.0
92,2019-06-19,1.768,0.0
93,2019-06-20,1.738,0.0
94,2019-06-21,1.807,0.0
96,2019-06-24,1.753,0.0
97,2019-06-25,1.733,0.0
98,2019-06-26,1.8,0.0
99,2019-06-27,1.763,0.0
100,2019-06-28,1.758,0.0
102,2019-07-01,1.796,0.0
103,2019-07-02,1.747,0.0
104,2019-07-03,1.737,0.0
105,2019-07-05,1.842,0.0
107,2019-07-08,1.844,0.0
108,2019-07-09,1.867,0.0
109,2019-07-10,1.828,0.0
110,2019-07-11,1.877,0.0
111,2019-07-12,1.858,0.0
113,2019-07-15,1.849,0.0
114,2019-07-16,1.883,0.0
115,2019-07-17,1.83,0.0
116,2019-07-18,1.786,0.0
117,2019-07-19,1.805,0.0
119,2019-07-22,1.798,0.0
120,2019-07-23,1.825,0.0
121,2019-07-24,1.82,0.0
122,2019-07-25,1.854,0.0
123,2019-07-26,1.862,0.0
125,2019-07-29,1.834,0.0
126,2019-07-30,1.844,0.0
127,2019-07-31,1.844,0.0
128,2019-08-01,1.678,0.0
129,2019-08-02,1.668,0.0
131,2019-08-05,1.534,0.0
132,2019-08-06,1.546,0.0
133,2019-08-07,1.502,0.0
134,2019-08-08,1.537,0.0
135,2019-08-09,1.563,0.0
137,2019-08-12,1.483,0.0
138,2019-08-13,1.569,0.0
139,2019-08-14,1.488,0.0
140,2019-08-15,1.422,0.0
141,2019-08-16,1.412,0.0
143,2019-08-19,1.464,0.0
144,2019-08-20,1.433,0.0
145,2019-08-21,1.467,0.0
146,2019-08-22,1.493,0.0
147,2019-08-23,1.411,0.0
149,2019-08-26,1.43,0.0
150,2019-08-27,1.394,0.0
151,2019-08-28,1.374,0.0
152,2019-08-29,1.411,0.0
153,2019-08-30,1.391,0.0
155,2019-09-03,1.339,0.0
156,2019-09-04,1.315,0.0
157,2019-09-05,1.434,0.0
158,2019-09-06,1.418,0.0
160,2019-09-09,1.479,0.0
161,2019-09-10,1.565,0.0
162,2019-09-11,1.592,0.0
163,2019-09-12,1.652,0.0
164,2019-09-13,1.752,0.0
166,2019-09-16,1.701,0.0
167,2019-09-17,1.666,0.0
168,2019-09-18,1.661,0.0
169,2019-09-19,1.648,0.0
170,2019-09-20,1.634,0.0
172,2019-09-23,1.582,0.0
173,2019-09-24,1.511,0.0
174,2019-09-25,1.607,0.0
175,2019-09-26,1.573,0.0
176,2019-09-27,1.551,0.0
178,2019-09-30,1.551,0.0
179,2019-10-01,1.498,0.0
180,2019-10-02,1.43,0.0
181,2019-10-03,1.342,0.0
182,2019-10-04,1.331,0.0
184,2019-10-07,1.386,0.0
185,2019-10-08,1.358,0.0
